Pattern String,Pattern Category,predicted_predicate
1044 sold in past 12 months,Social Proof,"display_activity_message_overlay(message, item)"
2 customers recently bought it,Social Proof,"display_activity_message_overlay(message, item)"
"Tambria in Hattiesburg just bought Peruvian Virgin Natural Wave Hair 3 Bundles with Lace Frontal, 100% Human Virgin Hair ",Social Proof,"generate_fake_endorsement(endorsement, location)"
2 PEOPLE HAVE ADDED THIS ITEM TO THEIR CART TODAY,Social Proof,"display_activity_message_overlay(message, item)"
One customer bought this article in the last 53 min.,Social Proof,inject_random_time(time)
Someone in Mount Louisa bought a Coleman Folding Table & Bench Set 2 minutes ago,Social Proof,"display_activity_message_overlay(message, item)"
2+ people just viewed this product,Social Proof,"display_activity_message_overlay(message, item)"
Over 238 people have bought this product,Social Proof,"display_activity_message_overlay(message, item)"
994 items sold this hour.,Social Proof,"display_activity_message_overlay(message, item)"
Sara from Philadelphia just saved $68 on her order.,Social Proof,"generate_fake_endorsement(endorsement, location)"
52 people have added this product to bag in the last 72 hours,Social Proof,"display_activity_message_overlay(message, item)"
"Natalie in Graham, United States purchased a FREE BTS Answer Magic Pillow about 1 hour ago",Social Proof,"display_activity_message_overlay(message, item)"
Someone from purchased a HOLEES Original Ladies II - Navy About 9 hours ago,Social Proof,"display_activity_message_overlay(message, item)"
4 bought in the last 24 hours.,Social Proof,"display_activity_message_overlay(message, item)"
Someone in Spain purchased,Social Proof,"display_activity_message_overlay(message, item)"
137 users are currently active on our website,Social Proof,"display_activity_message_overlay(message, item)"
4 people are looking at this right now.,Social Proof,"display_activity_message_overlay(message, item)"
Last purchased at 11:19am today.,Social Proof,"display_activity_message_overlay(message, item)"
41 people have looked at this in the last couple of hours,Social Proof,"display_activity_message_overlay(message, item)"
"Someone from Osijek, Croatia just bought TMC CP Style Single Pistol Pouch",Social Proof,"display_activity_message_overlay(message, item)"
"Ashley in Auburn, United States purchased a Check Plz iPhone X/Xs Case about 24 minutes ago",Social Proof,"display_activity_message_overlay(message, item)"
6 others have already bought this deal today!,Social Proof,"display_activity_message_overlay(message, item)"
232 people are viewing this offer!,Social Proof,"display_activity_message_overlay(message, item)"
"Someone in Shelby twp, United States just bought Galaxy Note 8 10000mAh ZeroShock Battery Case 3 days ago",Social Proof,"generate_fake_endorsement(endorsement, location)"
Someone added 1pc 4ocean natural stone beads beaded bracelet men boho handmade to their cart RIGHT NOW,Social Proof,"display_activity_message_overlay(message, item)"
436 users are currently active on our website Just now,Social Proof,"display_activity_message_overlay(message, item)"
39 people have this in their cart,Social Proof,"display_activity_message_overlay(message, item)"
What people are saying about us...,Social Proof,"generate_fake_endorsement(endorsement, location)"
